node_id,node_type,label,domain,description,allowed_as_input,allowed_as_output,clinical_diagnosis,created_from_edges
acute_arousal_state,physiological_mechanism,Acute Arousal State,EDA_sympathetic_arousal,Acute Arousal State: Physiological mechanism node used as an intermediate bridge.,false,true,false,sympathetic_arousal_to_acute_arousal_state
acute_psychosocial_stress_response,physiological_mechanism,Acute Psychosocial Stress Response,HPA_axis_cortisol,Acute Psychosocial Stress Response: Physiological mechanism node used as an intermediate bridge.,false,true,false,acute_psychosocial_stress_response_to_hpa_axis_activation;social_evaluative_threat_to_acute_psychosocial_stress_response
acute_sleep_deprivation,observable_marker,Acute Sleep Deprivation,sleep_cortisol,Acute Sleep Deprivation: Observable input signal referenced in evidence edges.,true,false,false,acute_sleep_deprivation_to_cortisol_elevation_contextual
allostatic_load,physiological_mechanism,Allostatic Load,allostasis,Allostatic Load: Physiological mechanism node used as an intermediate bridge.,false,true,false,allostatic_load_to_health_risk_state;multi_system_dysregulation_to_allostatic_load
anxiety_like_arousal_state,psychological_state_hypothesis,Anxiety Like Arousal State,sleep_emotion_regulation,Anxiety Like Arousal State: Cautious psychological state hypothesis; not a clinical diagnosis.,false,true,false,emotion_regulation_impairment_to_anxiety_like_arousal_state_contextual
autonomic_regulation_shift,physiological_mechanism,Autonomic Regulation Shift,HRV_autonomic_regulation,Autonomic Regulation Shift: Physiological mechanism node used as an intermediate bridge.,false,true,false,autonomic_regulation_shift_to_recovery_deficit;hrv_reduced_to_autonomic_regulation_shift
cortisol_elevation,biochemical_marker,Cortisol Elevation,sleep_cortisol,Cortisol Elevation: Biochemical marker node used in mechanism pathways.,false,false,false,acute_sleep_deprivation_to_cortisol_elevation_contextual
depressive_like_pattern_contextual,neurobiological_affective_bridge,Depressive Like Pattern Contextual,HRV_autonomic_regulation,Depressive Like Pattern Contextual: Neurobiological/affective bridge between physiology and cautious state hypotheses.,false,true,false,persistent_low_hrv_to_depressive_like_pattern_contextual
emotion_regulation_impairment,neurobiological_affective_bridge,Emotion Regulation Impairment,sleep_emotion_regulation,Emotion Regulation Impairment: Neurobiological/affective bridge between physiology and cautious state hypotheses.,false,true,false,emotion_regulation_impairment_to_anxiety_like_arousal_state_contextual;sleep_loss_to_emotion_regulation_impairment
fatigue_like_state,psychological_state_hypothesis,Fatigue Like State,sleep_mood,Fatigue Like State: Cautious psychological state hypothesis; not a clinical diagnosis.,false,true,false,recovery_deficit_to_fatigue_like_state
health_risk_state,risk_state,Health Risk State,allostatic_load_measurement,Health Risk State: Risk-oriented physiological burden state; not a clinical diagnosis.,false,true,false,allostatic_load_to_health_risk_state
hpa_axis_activation,physiological_mechanism,Hpa Axis Activation,HPA_axis_cortisol,Hpa Axis Activation: Physiological mechanism node used as an intermediate bridge.,false,true,false,acute_psychosocial_stress_response_to_hpa_axis_activation;salivary_cortisol_increase_to_hpa_axis_activation
increased_eda,observable_marker,Increased Eda,EDA_sympathetic_arousal,Increased Eda: Observable input signal referenced in evidence edges.,true,false,false,increased_eda_to_sympathetic_arousal
increased_emotional_reactivity,neurobiological_affective_bridge,Increased Emotional Reactivity,sleep_emotion_regulation,Increased Emotional Reactivity: Neurobiological/affective bridge between physiology and cautious state hypotheses.,false,true,false,sleep_disturbance_to_increased_emotional_reactivity
irritability_vulnerability,psychological_state_hypothesis,Irritability Vulnerability,sleep_mood,Irritability Vulnerability: Cautious psychological state hypothesis; not a clinical diagnosis.,false,true,false,negative_mood_increase_to_irritability_vulnerability
low_resting_hrv,observable_marker,Low Resting Hrv,HRV_autonomic_regulation,Low Resting Hrv: Observable input signal referenced in evidence edges.,true,false,false,low_resting_hrv_to_mental_health_related_autonomic_dysregulation
mental_health_related_autonomic_dysregulation,physiological_mechanism,Mental Health Related Autonomic Dysregulation,HRV_autonomic_regulation,Mental Health Related Autonomic Dysregulation: Physiological mechanism node used as an intermediate bridge.,false,true,false,low_resting_hrv_to_mental_health_related_autonomic_dysregulation
multi_system_dysregulation,physiological_mechanism,Multi System Dysregulation,allostasis,Multi System Dysregulation: Physiological mechanism node used as an intermediate bridge.,false,true,false,multi_system_dysregulation_to_allostatic_load
negative_mood_increase,neurobiological_affective_bridge,Negative Mood Increase,sleep_mood,Negative Mood Increase: Neurobiological/affective bridge between physiology and cautious state hypotheses.,false,true,false,negative_mood_increase_to_irritability_vulnerability;sleep_restriction_to_negative_mood_increase
persistent_low_hrv,observable_marker,Persistent Low Hrv,HRV_autonomic_regulation,Persistent Low Hrv: Observable input signal referenced in evidence edges.,true,false,false,persistent_low_hrv_to_depressive_like_pattern_contextual
recovery_deficit,physiological_mechanism,Recovery Deficit,HRV_autonomic_regulation,Recovery Deficit: Physiological mechanism node used as an intermediate bridge.,false,true,false,autonomic_regulation_shift_to_recovery_deficit;recovery_deficit_to_fatigue_like_state
reduced_hrv_relative_to_baseline,observable_marker,Reduced Hrv Relative To Baseline,HRV_autonomic_regulation,Reduced Hrv Relative To Baseline: Observable input signal referenced in evidence edges.,true,false,false,hrv_reduced_to_autonomic_regulation_shift
reduced_positive_affect,neurobiological_affective_bridge,Reduced Positive Affect,sleep_emotion_regulation,Reduced Positive Affect: Neurobiological/affective bridge between physiology and cautious state hypotheses.,false,true,false,sleep_loss_to_reduced_positive_affect
repeated_stress_responses,physiological_mechanism,Repeated Stress Responses,allostasis,Repeated Stress Responses: Physiological mechanism node used as an intermediate bridge.,false,true,false,repeated_stress_responses_to_stress_adaptation_response
salivary_cortisol_increase,observable_marker,Salivary Cortisol Increase,HPA_axis_cortisol,Salivary Cortisol Increase: Observable input signal referenced in evidence edges.,true,false,false,salivary_cortisol_increase_to_hpa_axis_activation
sleep_disturbance,observable_marker,Sleep Disturbance,sleep_emotion_regulation,Sleep Disturbance: Observable input signal referenced in evidence edges.,true,false,false,sleep_disturbance_to_increased_emotional_reactivity
sleep_loss,observable_marker,Sleep Loss,sleep_emotion_regulation,Sleep Loss: Observable input signal referenced in evidence edges.,true,false,false,sleep_loss_to_emotion_regulation_impairment;sleep_loss_to_reduced_positive_affect
sleep_restriction,observable_marker,Sleep Restriction,sleep_mood,Sleep Restriction: Observable input signal referenced in evidence edges.,true,false,false,sleep_restriction_to_negative_mood_increase
social_evaluative_threat_context,context_node,Social Evaluative Threat Context,HPA_axis_cortisol,Social Evaluative Threat Context: Contextual factor required for edge interpretation.,true,false,false,social_evaluative_threat_to_acute_psychosocial_stress_response
stress_adaptation_response,physiological_mechanism,Stress Adaptation Response,allostasis,Stress Adaptation Response: Physiological mechanism node used as an intermediate bridge.,false,true,false,repeated_stress_responses_to_stress_adaptation_response
stress_state_prediction,risk_state,Stress State Prediction,wearable_stress_detection,Stress State Prediction: Risk-oriented physiological burden state; not a clinical diagnosis.,false,true,false,wearable_multimodal_features_to_stress_state_prediction
sympathetic_arousal,physiological_mechanism,Sympathetic Arousal,EDA_sympathetic_arousal,Sympathetic Arousal: Physiological mechanism node used as an intermediate bridge.,false,true,false,increased_eda_to_sympathetic_arousal;sympathetic_arousal_to_acute_arousal_state
wearable_multimodal_features,model_feature_node,Wearable Multimodal Features,EDA_sympathetic_arousal,Wearable Multimodal Features: Model or composite feature node used in inference pathways.,true,false,false,wearable_multimodal_features_to_stress_state_prediction
